Date,Category,Amount,Note
01/01/2026,Food,30,Tea
01/01/2026,Travel,40,Bus
01/01/2026,Food,50,Lunch

02/01/2026,Food,30,Tea
02/01/2026,Travel,40,Bus
02/01/2026,Food,60,Lunch

03/01/2026,Food,40,Tea & snacks
03/01/2026,Food,80,Friends outing

04/01/2026,Food,50,Coffee & snacks
04/01/2026,Other,370,Mobile recharge

05/01/2026,Food,30,Tea
05/01/2026,Travel,40,Bus
05/01/2026,Food,90,Lunch

06/01/2026,Food,30,Tea
06/01/2026,Travel,40,Bus
06/01/2026,Study,10,Xerox

07/01/2026,Food,30,Tea
07/01/2026,Travel,40,Bus
07/01/2026,Food,70,Lunch

08/01/2026,Food,30,Tea
08/01/2026,Travel,40,Bus
08/01/2026,Food,60,Lunch

09/01/2026,Food,30,Tea
09/01/2026,Travel,40,Bus
09/01/2026,Food,80,Dinner

10/01/2026,Food,40,Snacks
10/01/2026,Other,50,Shopping

11/01/2026,Food,60,Outside food
11/01/2026,Other,200,Entertainment

12/01/2026,Food,30,Tea
12/01/2026,Travel,40,Bus
12/01/2026,Food,70,Lunch

13/01/2026,Food,30,Tea
13/01/2026,Travel,40,Bus
13/01/2026,Study,60,Printouts

14/01/2026,Food,30,Tea
14/01/2026,Travel,40,Bus
14/01/2026,Food,80,Lunch

15/01/2026,Food,30,Tea
15/01/2026,Travel,40,Bus
15/01/2026,Other,50,Recharge

16/01/2026,Food,30,Tea
16/01/2026,Travel,40,Bus
16/01/2026,Food,70,Lunch

17/01/2026,Food,50,Snacks
17/01/2026,Other,60,Friends meet

18/01/2026,Food,60,Outside food
18/01/2026,Other,50,Personal care

19/01/2026,Food,30,Tea
19/01/2026,Travel,40,Bus
19/01/2026,Food,60,Lunch

20/01/2026,Food,30,Tea
20/01/2026,Travel,40,Bus
20/01/2026,Study,50,Notes

21/01/2026,Food,30,Tea
21/01/2026,Travel,40,Bus
21/01/2026,Food,80,Lunch

22/01/2026,Food,30,Tea
22/01/2026,Travel,40,Bus
22/01/2026,Other,60,Internet share

23/01/2026,Food,30,Tea
23/01/2026,Travel,40,Bus
23/01/2026,Food,70,Lunch

24/01/2026,Food,50,Snacks
24/01/2026,Other,150,Shopping

25/01/2026,Food,60,Outside food
25/01/2026,Other,50,Recharge

26/01/2026,Food,30,Tea
26/01/2026,Travel,40,Bus
26/01/2026,Study,50,Xerox

27/01/2026,Food,30,Tea
27/01/2026,Travel,40,Bus
27/01/2026,Food,70,Lunch

28/01/2026,Food,30,Tea
28/01/2026,Travel,40,Bus
28/01/2026,Other,60,Personal use

29/01/2026,Food,30,Tea
29/01/2026,Travel,40,Bus
29/01/2026,Study,200,Course material

30/01/2026,Food,30,Tea
30/01/2026,Travel,40,Bus
30/01/2026,Food,70,Lunch

31/01/2026,Food,30,Snacks
31/01/2026,Food,60,Dinner outside
